% Model,MFT_3_6_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 27 2024, 17:02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
30,20,0.2,0.1,36,12,0.2,0.1,5.5,3,3.5,4,3,0,1,1,0.1,0.1,1,1,10,0.000412768,0.000415093,0.000426431,0,0,0,0.00182941,0.00185089,0.00187056,0.00188679,0.00189986,0.00191255,4.43386E-08,4.25378E-08,3.83363E-08,0,0,0,1.56247E-07,1.64584E-07,1.70789E-07,1.74801E-07,1.76591E-07,1.76164E-07
40,25,0.3,0.2,52,40,0.1,0.2,2,3,6,1.5,3.5,0,1,2,0.1,0.1,1,1,10,0.000434853,0.000457138,0.000565119,0,0,0,0.00127765,0.00128076,0.00129106,0.0013079,0.00133187,0.00136723,4.08779E-08,3.74399E-08,2.89108E-08,0,0,0,9.11138E-08,1.14118E-07,1.31741E-07,1.43883E-07,1.50309E-07,1.50739E-07
50,50,0.1,0.1,66,12,0.3,0.1,4.5,2.5,6,4,4.5,0,1,1,0.1,0.1,1,1,10,0.000693967,0.000698423,0.000701981,0,0,0,0.00080639,0.00081317,0.000820116,0.000827007,0.000833793,0.000840825,4.07865E-08,3.9179E-08,3.55992E-08,0,0,0,6.41499E-08,6.93838E-08,7.35125E-08,7.65202E-08,7.83947E-08,7.91286E-08
50,35,0.3,0.3,68,20,0.1,0.3,1,2.5,3.5,1.5,5,0,1,2,0.1,0.1,2,1,10,0.000283852,0.000300557,0.000371136,0,0,0,0.000596657,0.000567203,0.000550698,0.00054757,0.000560069,0.000592428,2.22504E-08,1.98398E-08,1.40197E-08,0,0,0,2.60159E-08,4.7911E-08,6.52413E-08,7.79296E-08,8.57073E-08,8.79628E-08
45,25,0.1,0.1,38,22,0.1,0.1,2,1,5,3,6,0,1,1,0.1,0.1,1,1,10,0.00079343,0.000801644,0.000819128,0,0,0,0.00137044,0.00138499,0.00139913,0.00141254,0.00142543,0.00143895,1.5254E-08,1.38093E-08,1.09108E-08,0,0,0,6.78569E-08,7.53422E-08,8.10612E-08,8.49893E-08,8.71035E-08,8.73831E-08
65,50,0.1,0.2,62,20,0.1,0.1,5,4,3.5,3,4,0,1,1,0.1,0.1,1,1,10,0.000600626,0.000604247,0.00060936,0,0,0,0.000593554,0.00058593,0.000583822,0.000586442,0.000595235,0.00061473,3.24041E-08,3.15349E-08,2.97445E-08,0,0,0,9.84484E-08,1.07089E-07,1.13745E-07,1.18375E-07,1.20882E-07,1.21159E-07
30,20,0.3,0.2,38,14,0.3,0.2,1.5,1.5,4,3.5,4.5,0,1,2,0.1,0.1,1,1,10,0.000284873,0.000297209,0.000380408,0,0,0,0.000821024,0.000838345,0.000858062,0.000879471,0.000902172,0.000927797,2.43317E-08,2.11129E-08,1.30575E-08,0,0,0,4.98224E-08,6.51214E-08,7.70043E-08,8.53714E-08,9.00346E-08,9.07742E-08
65,50,0.1,0.3,66,32,0.3,0.2,0.5,4,3,4,5.5,0,1,1,0.1,0.1,2,1,10,0.000795519,0.000810918,0.000843906,0,0,0,0.00051839,0.000471218,0.000439528,0.000422693,0.000421058,0.000437604,1.46524E-08,1.20326E-08,6.68739E-09,0,0,0,1.29299E-08,2.93297E-08,4.23507E-08,5.1948E-08,5.79749E-08,6.00817E-08
70,70,0.1,0.1,72,24,0.3,0.1,4.5,4,4,1,4,0,1,1,0.1,0.1,1,1,10,0.000661219,0.000664535,0.000667389,0,0,0,0.000744304,0.00074856,0.000753171,0.000757911,0.000762862,0.000768293,3.853E-08,3.69163E-08,3.33881E-08,0,0,0,6.39984E-08,6.89789E-08,7.29169E-08,7.58014E-08,7.76222E-08,7.83747E-08
25,20,0.3,0.3,60,30,0.1,0.1,3.5,4,4,2,5.5,0,1,2,0.1,0.1,2,1,10,0.000661513,0.000666651,0.000696549,0,0,0,0.00134236,0.00126422,0.00121284,0.00118743,0.00118981,0.00122716,8.58491E-08,8.21599E-08,7.32044E-08,0,0,0,1.40924E-07,1.68402E-07,1.89387E-07,2.0383E-07,2.11427E-07,2.11634E-07
