% Model,MFT_4_5_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 27 2024, 15:45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
50,30,0.1,0.2,50,18,0.1,0.3,5,2,5.5,1,4.5,0,1,1,0.1,0.1,1,1,10,0.00065706,0.000661782,0.000669358,0.00068324,0,0,0.000823908,0.000835338,0.000850874,0.000871053,0.00090107,0,5.05932E-08,4.96057E-08,4.75674E-08,4.4444E-08,0,0,1.03024E-07,1.16981E-07,1.26689E-07,1.31959E-07,1.32467E-07,0
30,30,0.3,0.1,66,8,0.2,0.2,6,1,5,2,5,0,1,2,0.1,0.1,1,1,10,0.000445023,0.00044814,0.000471607,0.000516649,0,0,0.00133998,0.00136136,0.00138043,0.00139664,0.00141104,0,1.02409E-07,1.00079E-07,9.41036E-08,8.44787E-08,0,0,1.07462E-07,1.16606E-07,1.23178E-07,1.27126E-07,1.28413E-07,0
65,40,0.3,0.1,68,12,0.2,0.1,6,2.5,5,2.5,3,0,1,2,0.1,0.1,1,1,10,0.000190023,0.000195923,0.000234257,0.000362053,0,0,0.00124862,0.00125892,0.00126867,0.00127764,0.00128762,0,4.51528E-08,4.35799E-08,3.97001E-08,3.18277E-08,0,0,1.30932E-07,1.36083E-07,1.39606E-07,1.41467E-07,1.41663E-07,0
25,15,0.3,0.2,70,14,0.3,0.3,3,1.5,5,3.5,5.5,0,1,2,0.1,0.1,1,1,10,0.000545221,0.000543154,0.000556118,0.000798235,0,0,0.00168322,0.00173036,0.00177106,0.00180266,0.00182678,0,8.62439E-08,8.17121E-08,7.12339E-08,5.17002E-08,0,0,1.32038E-07,1.58088E-07,1.75981E-07,1.85489E-07,1.8626E-07,0
70,50,0.1,0.3,76,10,0.2,0.1,5.5,3.5,4.5,1,4.5,0,1,1,0.1,0.1,2,1,10,0.000533068,0.000538246,0.000546902,0.000563776,0,0,0.000540704,0.000431443,0.000415293,0.00042353,0.000439023,0,4.52475E-08,4.40427E-08,4.15511E-08,3.77135E-08,0,0,8.98299E-08,9.91922E-08,1.0549E-07,1.08975E-07,1.09646E-07,0
70,65,0.1,0.3,40,10,0.2,0.1,4.5,2,3,1.5,6,0,1,1,0.1,0.1,2,1,10,0.000327558,0.000330792,0.000334138,0.000337681,0,0,0.000258634,0.000225668,0.000202328,0.000184516,0.000189142,0,2.74032E-08,2.67871E-08,2.54489E-08,2.33657E-08,0,0,3.22816E-08,3.71119E-08,4.06958E-08,4.30357E-08,4.38364E-08,0
65,45,0.2,0.3,30,22,0.3,0.2,3.5,1,5,2.5,4.5,0,1,1,0.1,0.1,2,1,10,0.000214865,0.000218853,0.000237959,0.000298713,0,0,0.000366198,0.000342469,0.000330579,0.000331519,0.000350367,0,2.81705E-08,2.6809E-08,2.36497E-08,1.80583E-08,0,0,5.05919E-08,5.93002E-08,6.55642E-08,6.92618E-08,7.00719E-08,0
70,65,0.3,0.1,28,18,0.3,0.2,5,4,4.5,2,6,0,1,2,0.1,0.1,1,1,10,0.000143266,0.000143144,0.000150705,0.000166604,0,0,0.00055678,0.000563489,0.000570042,0.000576381,0.000583141,0,3.32842E-08,3.19955E-08,2.89349E-08,2.40705E-08,0,0,4.96895E-08,5.37807E-08,5.67539E-08,5.85805E-08,5.92409E-08,0
65,55,0.1,0.1,22,10,0.1,0.3,2,4,5,3,6,0,1,1,0.1,0.1,1,1,10,0.00028785,0.000291369,0.000295846,0.000302181,0,0,0.000404228,0.000415017,0.000425594,0.000435824,0.000445929,0,1.07816E-08,1.03526E-08,9.46783E-09,8.11133E-09,0,0,1.55445E-08,1.96883E-08,2.27655E-08,2.47302E-08,2.55373E-08,0
65,60,0.3,0.2,80,28,0.3,0.3,1.5,4,3,1.5,3.5,0,1,2,0.1,0.1,1,1,10,0.000271792,0.000276316,0.000294138,0.000335149,0,0,0.000502689,0.000501546,0.000503782,0.000509277,0.000518675,0,3.7366E-08,3.4313E-08,2.76929E-08,1.72912E-08,0,0,3.01581E-08,4.23718E-08,5.14355E-08,5.72631E-08,5.97336E-08,0
