% Model,MFT_6_5_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 29 2024, 19:13",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
35,35,0.1,0.3,34,12,0.2,0.3,1.5,4,6,1.5,4,0,1,1,0.1,0.1,2,1,10,0.000736208,0.000739146,0.000741806,0.000743991,0.000746039,0.000748682,0.000345059,0.000327199,0.000320106,0.000320411,0.000327248,0,5.21465E-08,5.12716E-08,4.89053E-08,4.50033E-08,3.95263E-08,3.24301E-08,1.49195E-08,2.72156E-08,3.64007E-08,4.23664E-08,4.48917E-08,0
20,20,0.1,0.3,48,30,0.3,0.2,4.5,4,5.5,3.5,4,0,1,1,0.1,0.1,2,1,10,0.00246197,0.00246242,0.00245677,0.00244195,0.00241891,0.00239083,0.00111961,0.0010812,0.00106262,0.00106296,0.00108423,0,2.50008E-07,2.48946E-07,2.4244E-07,2.30366E-07,2.12639E-07,1.89141E-07,1.35793E-07,1.6201E-07,1.80624E-07,1.91361E-07,1.93722E-07,0
30,25,0.2,0.3,50,12,0.3,0.3,4.5,3.5,5,3,3.5,0,1,1,0.1,0.1,2,1,10,0.000600403,0.000589926,0.000582528,0.000578731,0.000581105,0.000594646,0.000844144,0.000774886,0.000730925,0.000714332,0.000729023,0,1.30372E-07,1.28574E-07,1.23218E-07,1.14329E-07,1.01841E-07,8.55451E-08,1.03827E-07,1.23774E-07,1.38064E-07,1.46493E-07,1.48493E-07,0
20,15,0.3,0.3,44,40,0.2,0.2,5,1.5,4,3,3,0,1,2,0.1,0.1,2,1,10,0.00122076,0.00113109,0.00111739,0.00113836,0.00119469,0.00129448,0.00178454,0.00170771,0.00166866,0.00166444,0.00170205,0,3.07017E-07,3.04899E-07,2.94422E-07,2.76548E-07,2.51392E-07,2.18619E-07,2.05534E-07,2.38224E-07,2.60072E-07,2.70871E-07,2.69942E-07,0
30,20,0.1,0.3,42,22,0.3,0.1,1.5,2.5,4,3.5,4,0,1,1,0.1,0.1,2,1,10,0.00111621,0.00111248,0.00111784,0.00115325,0.00125211,0.00146617,0.000851952,0.000814693,0.000796199,0.000796512,0.000819326,0,6.72057E-08,6.48016E-08,5.92146E-08,4.98584E-08,3.60425E-08,1.74197E-08,6.65329E-08,8.24781E-08,9.37127E-08,1.00065E-07,1.01183E-07,0
35,20,0.2,0.1,36,20,0.1,0.3,2.5,1.5,4.5,4,4.5,0,1,1,0.1,0.1,1,1,10,0.000445071,0.000439019,0.000447011,0.000490286,0.000605367,0.000858797,0.00174905,0.00179869,0.00184162,0.0018758,0.00190239,0,5.78056E-08,5.66358E-08,5.3804E-08,4.87239E-08,4.02634E-08,2.72163E-08,8.23333E-08,9.58493E-08,1.05257E-07,1.10464E-07,1.11384E-07,0
55,55,0.2,0.2,48,14,0.3,0.3,4,2.5,3.5,3.5,6,0,1,1,0.1,0.1,1,1,10,0.000335157,0.000327063,0.000323368,0.000323061,0.000325884,0.000331769,0.000366673,0.000370445,0.000376527,0.00038493,0.000396557,0,7.13401E-08,7.02707E-08,6.71634E-08,6.20439E-08,5.49011E-08,4.56764E-08,4.56686E-08,5.42162E-08,6.05463E-08,6.45583E-08,6.61249E-08,0
70,60,0.2,0.3,68,12,0.1,0.3,5,3.5,6,2.5,5.5,0,1,1,0.1,0.1,2,1,10,0.000266854,0.00026593,0.000267853,0.00027344,0.000284024,0.000301696,0.000355766,0.000333363,0.000320821,0.000319945,0.000334693,0,7.28054E-08,7.19289E-08,6.99283E-08,6.67751E-08,6.24284E-08,5.68369E-08,6.06023E-08,7.15479E-08,7.95686E-08,8.45654E-08,8.62094E-08,0
40,40,0.2,0.3,42,10,0.3,0.2,2,4,3,1.5,5.5,0,1,1,0.1,0.1,2,1,10,0.000388231,0.000382306,0.00037991,0.000380434,0.000384348,0.000392768,0.000420686,0.000373319,0.00034107,0.000325206,0.000327014,0,5.55716E-08,5.43189E-08,5.06396E-08,4.45313E-08,3.59478E-08,2.47799E-08,3.19626E-08,4.19738E-08,4.94247E-08,5.41808E-08,5.60409E-08,0
25,20,0.1,0.2,58,22,0.3,0.3,1.5,2,4,3.5,4.5,0,1,1,0.1,0.1,1,1,10,0.00155473,0.00154427,0.00153166,0.00152584,0.00154138,0.00159915,0.00117234,0.00119921,0.00122743,0.00125385,0.00127847,0,1.03308E-07,1.00385E-07,9.34015E-08,8.20811E-08,6.60898E-08,4.50991E-08,5.64255E-08,7.94295E-08,9.59479E-08,1.05803E-07,1.08711E-07,0
40,35,0.1,0.2,52,14,0.3,0.2,1,1.5,4,4,4,0,1,1,0.1,0.1,1,1,10,0.000736421,0.000738054,0.00073998,0.000746778,0.000765698,0.000807494,0.000513837,0.000516988,0.000522964,0.000531405,0.000542974,0,4.28334E-08,4.10504E-08,3.7169E-08,3.10347E-08,2.24665E-08,1.13101E-08,2.39812E-08,3.34688E-08,4.0452E-08,4.48465E-08,4.6546E-08,0
20,15,0.1,0.1,26,32,0.2,0.1,4,1,4,3,3.5,0,1,1,0.1,0.1,1,1,10,0.0018016,0.00179327,0.00178335,0.001774,0.00176931,0.00177425,0.00279723,0.00281465,0.00283066,0.00284367,0.00285563,0,1.6957E-07,1.6768E-07,1.62652E-07,1.54367E-07,1.42704E-07,1.27529E-07,1.3453E-07,1.44807E-07,1.5172E-07,1.55234E-07,1.5534E-07,0
