% Model,MFT_4_6_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 28 2024, 15:06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
40,40,0.3,0.1,26,18,0.3,0.3,2.5,3.5,6,2.5,6,0,1,2,0.1,0.1,1,1,10,0.000256483,0.000252922,0.000260875,0.000279298,0,0,0.000766655,0.000785173,0.000804,0.000822074,0.000838883,0.000854564,3.94831E-08,3.76922E-08,3.29815E-08,2.53607E-08,0,0,3.57803E-08,4.53504E-08,5.29217E-08,5.84468E-08,6.18659E-08,6.31256E-08
60,50,0.3,0.2,70,8,0.1,0.1,4,1.5,6,2,5.5,0,1,2,0.1,0.1,1,1,10,0.000178987,0.000189785,0.00021593,0.000264077,0,0,0.000464083,0.000458229,0.000455937,0.000471775,0.000461826,0.000473262,3.97733E-08,3.83638E-08,3.53471E-08,3.05575E-08,0,0,6.42934E-08,7.1516E-08,7.71645E-08,8.10662E-08,8.35282E-08,8.41201E-08
30,30,0.2,0.1,50,14,0.1,0.1,3.5,2.5,5,1.5,4,0,1,1,0.1,0.1,1,1,10,0.000551123,0.000550454,0.000552741,0.000557755,0,0,0.00118723,0.00120017,0.00121261,0.0012242,0.00123491,0.00124523,6.24012E-08,6.10432E-08,5.75147E-08,5.17882E-08,0,0,7.22122E-08,7.94665E-08,8.51427E-08,8.92194E-08,9.16771E-08,9.25049E-08
60,40,0.1,0.3,68,36,0.2,0.2,3,2.5,4,2,4.5,0,1,1,0.1,0.1,2,1,10,0.000886297,0.000893218,0.000909781,0.000949159,0,0,0.000756669,0.000704227,0.000670814,0.000659643,0.00067524,0.000728048,4.94633E-08,4.74341E-08,4.32054E-08,3.66617E-08,0,0,9.25207E-08,1.12896E-07,1.28672E-07,1.39847E-07,1.46104E-07,1.46669E-07
70,50,0.1,0.1,58,32,0.1,0.2,1.5,1.5,3.5,3.5,4,0,1,1,0.1,0.1,1,1,10,0.000701556,0.000706962,0.000718157,0.00074288,0,0,0.000945614,0.000957386,0.00096971,0.000982349,0.000995359,0.00100942,1.90497E-08,1.78608E-08,1.5439E-08,1.17416E-08,0,0,3.78433E-08,4.67528E-08,5.37485E-08,5.87992E-08,6.18664E-08,6.29182E-08
20,20,0.2,0.1,32,18,0.2,0.3,1,1,5,1,3,0,1,1,0.1,0.1,1,1,10,0.00067248,0.000672139,0.000673075,0.000679134,0,0,0.00133878,0.00136977,0.0014055,0.0014407,0.00147154,0.00149642,5.07695E-08,4.81646E-08,4.21374E-08,3.25258E-08,0,0,9.08283E-09,2.6189E-08,3.96901E-08,4.95878E-08,5.58437E-08,5.83805E-08
40,30,0.3,0.1,72,24,0.2,0.1,6,2.5,6,3.5,4.5,0,1,2,0.1,0.1,1,1,10,0.000425379,0.00041683,0.00043082,0.000478765,0,0,0.00204014,0.00205527,0.00206956,0.00208151,0.00209181,0.00210357,1.01952E-07,9.91346E-08,9.21496E-08,8.07889E-08,0,0,2.05579E-07,2.15682E-07,2.23259E-07,2.28253E-07,2.30638E-07,2.30424E-07
60,40,0.2,0.3,30,32,0.3,0.3,2,3.5,5,2.5,4.5,0,1,1,0.1,0.1,2,1,10,0.000320806,0.000325778,0.000363081,0.000484461,0,0,0.000589384,0.000535432,0.000499608,0.000483169,0.000489522,0.000527101,3.17781E-08,2.98536E-08,2.51349E-08,1.64445E-08,0,0,4.94483E-08,6.7182E-08,8.10655E-08,9.1035E-08,9.68162E-08,9.77419E-08
30,25,0.3,0.3,68,12,0.1,0.2,3.5,3,6,3,3.5,0,1,2,0.1,0.1,2,1,10,0.000438412,0.000437421,0.000453297,0.000487367,0,0,0.000856738,0.000810951,0.000779461,0.000764835,0.000768279,0.000793637,8.43216E-08,8.20416E-08,7.62737E-08,6.70429E-08,0,0,9.24665E-08,1.15562E-07,1.3357E-07,1.46431E-07,1.53889E-07,1.55393E-07
65,60,0.3,0.1,58,40,0.1,0.3,3,3,5,3,5.5,0,1,2,0.1,0.1,1,1,10,0.000280681,0.000282556,0.000300208,0.000333588,0,0,0.000967291,0.000980362,0.000993454,0.0010062,0.00101862,0.00103182,5.19388E-08,5.01067E-08,4.58812E-08,3.92726E-08,0,0,5.21362E-08,6.41894E-08,7.36989E-08,8.06144E-08,8.48786E-08,8.64459E-08
