% Model,MFT_3_3_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 23 2024, 00:46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
35,25,0.1,0.2,62,18,0.3,0.1,2.5,3.5,5.5,2.5,3.5,0,1,1,0.1,0.1,1,1,10,0.00107343,0.00109034,0.00112235,0,0,0,0.000904231,0.000907625,0.000914082,0,0,0,3.11759E-08,2.79975E-08,2.13515E-08,0,0,0,5.21514E-08,5.77402E-08,5.97764E-08,0,0,0
35,20,0.2,0.1,72,14,0.1,0.2,3.5,3.5,6,4,3,0,1,1,0.1,0.1,1,1,10,0.000582676,0.000595572,0.000642265,0,0,0,0.00226116,0.00228813,0.00230843,0,0,0,3.7446E-08,3.48347E-08,2.91116E-08,0,0,0,8.83864E-08,9.48659E-08,9.69783E-08,0,0,0
25,25,0.3,0.1,80,26,0.3,0.3,1,4,3,1.5,6,0,1,2,0.1,0.1,1,1,10,0.000697802,0.00070087,0.000732897,0,0,0,0.00205972,0.00208639,0.00211115,0,0,0,4.11304E-08,3.44033E-08,1.89066E-08,0,0,0,2.9104E-08,3.98043E-08,4.46784E-08,0,0,0
65,60,0.2,0.1,56,18,0.2,0.3,4,1,3.5,1.5,5,0,1,1,0.1,0.1,1,1,10,0.000253256,0.000256193,0.000261663,0,0,0,0.000645872,0.000655247,0.000663867,0,0,0,2.62102E-08,2.48419E-08,2.19774E-08,0,0,0,2.70362E-08,3.03695E-08,3.1888E-08,0,0,0
35,20,0.2,0.3,28,12,0.3,0.1,1,2,4,2,3,0,1,1,0.1,0.1,2,1,10,0.000341882,0.00036779,0.000479974,0,0,0,0.000428224,0.000422368,0.000427259,0,0,0,1.09433E-08,8.1746E-09,1.24189E-09,0,0,0,2.15522E-08,2.67072E-08,2.87268E-08,0,0,0
35,25,0.3,0.2,60,28,0.1,0.2,6,3,3,2.5,4,0,1,2,0.1,0.1,1,1,10,0.000444316,0.000448264,0.000478654,0,0,0,0.00121392,0.00122571,0.00123828,0,0,0,7.73322E-08,7.46015E-08,6.80422E-08,0,0,0,1.15702E-07,1.24163E-07,1.26653E-07,0,0,0
20,15,0.2,0.1,40,18,0.3,0.2,6,1,6,1.5,3,0,1,1,0.1,0.1,1,1,10,0.000750496,0.000753441,0.000757671,0,0,0,0.00245113,0.00247858,0.00249714,0,0,0,9.8485E-08,9.46988E-08,8.61406E-08,0,0,0,1.05483E-07,1.12306E-07,1.14543E-07,0,0,0
60,35,0.3,0.2,42,14,0.3,0.1,3.5,1,3.5,2,4.5,0,1,2,0.1,0.1,1,1,10,0.00015906,0.000178179,0.000285943,0,0,0,0.000495184,0.000498906,0.000504956,0,0,0,1.69482E-08,1.50939E-08,9.36707E-09,0,0,0,4.36823E-08,4.67533E-08,4.78569E-08,0,0,0
70,65,0.2,0.2,44,26,0.1,0.1,5,1.5,5.5,2,3,0,1,1,0.1,0.1,1,1,10,0.000251568,0.000254431,0.000259641,0,0,0,0.000336832,0.000335436,0.000336563,0,0,0,3.15636E-08,3.05812E-08,2.84994E-08,0,0,0,3.12813E-08,3.37579E-08,3.48392E-08,0,0,0
60,40,0.1,0.1,32,14,0.3,0.1,2,2.5,3.5,3,4.5,0,1,1,0.1,0.1,1,1,10,0.000459403,0.000472057,0.000502167,0,0,0,0.000668777,0.000674868,0.000681069,0,0,0,8.74663E-09,7.11602E-09,3.71947E-09,0,0,0,2.14936E-08,2.31541E-08,2.38587E-08,0,0,0
