% Model,MFT_5_5_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 28 2024, 17:52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
25,20,0.1,0.1,76,22,0.2,0.3,1,4,3,2.5,5.5,0,1,1,0.1,0.1,1,1,10,0.00181134,0.001815,0.00182564,0.00185626,0.00192655,0,0.00244824,0.00250193,0.00255211,0.00259443,0.00262772,0,6.50129E-08,6.17481E-08,5.44455E-08,4.28325E-08,2.66756E-08,0,5.16015E-08,7.41083E-08,9.03299E-08,1.00232E-07,1.03739E-07,0
35,25,0.3,0.1,78,12,0.3,0.1,2,1,6,2.5,5.5,0,1,2,0.1,0.1,1,1,10,0.00038634,0.000385399,0.000408831,0.000578793,0.000986395,0,0.00173759,0.00175459,0.00177015,0.00178404,0.00179715,0,6.22381E-08,5.84652E-08,5.03902E-08,3.66397E-08,1.298E-08,0,8.62621E-08,9.40703E-08,9.95805E-08,1.0277E-07,1.03629E-07,0
20,15,0.1,0.3,60,20,0.1,0.2,0.5,2.5,4,1,5,0,1,1,0.1,0.1,2,1,10,0.00182906,0.00183675,0.00185002,0.00187533,0.00192198,0,0.00111116,0.00107597,0.00106346,0.00106617,0.00108012,0,6.00895E-08,5.77818E-08,5.2721E-08,4.48048E-08,3.39678E-08,0,1.6661E-08,4.54056E-08,6.61844E-08,7.88592E-08,8.30239E-08,0
55,50,0.1,0.2,42,40,0.2,0.2,6,1.5,4.5,2.5,5,0,1,1,0.1,0.1,1,1,10,0.000852548,0.000853223,0.000854658,0.000856586,0.000859312,0,0.000624855,0.000614859,0.000611341,0.000614388,0.000627248,0,1.11803E-07,1.10521E-07,1.07519E-07,1.02768E-07,9.62502E-08,0,8.5259E-08,9.56075E-08,1.03059E-07,1.07508E-07,1.08837E-07,0
30,20,0.1,0.2,62,32,0.2,0.2,5.5,3,3.5,1,3.5,0,1,1,0.1,0.1,1,1,10,0.00160628,0.00160473,0.00160511,0.00160981,0.00162302,0,0.00174707,0.00175604,0.00176966,0.00178522,0.00181003,0,1.72164E-07,1.69797E-07,1.64142E-07,1.55089E-07,1.42549E-07,0,2.05512E-07,2.27781E-07,2.42841E-07,2.50496E-07,2.5052E-07,0
65,55,0.3,0.3,46,36,0.3,0.1,4,1.5,5,2,3,0,1,2,0.1,0.1,2,1,10,0.000251817,0.000250378,0.000262871,0.00029216,0.000354404,0,0.000461242,0.00041981,0.000394284,0.000384707,0.000395842,0,7.06739E-08,6.83416E-08,6.30665E-08,5.48205E-08,4.31193E-08,0,6.95199E-08,7.87051E-08,8.53118E-08,8.92541E-08,9.03299E-08,0
70,65,0.3,0.2,56,8,0.1,0.3,3,2.5,5.5,1,3,0,1,2,0.1,0.1,1,1,10,0.000134919,0.000144277,0.000149958,0.000165966,0.000233026,0,0.000315056,0.000302673,0.000294309,0.000290832,0.000292615,0,3.57658E-08,3.46594E-08,3.24613E-08,2.89974E-08,2.40332E-08,0,2.70673E-08,3.39158E-08,3.90501E-08,4.23946E-08,4.38615E-08,0
40,30,0.1,0.2,24,28,0.1,0.1,4,3.5,4.5,4,4,0,1,1,0.1,0.1,1,1,10,0.000788188,0.000790037,0.000795009,0.000804227,0.000819277,0,0.000784939,0.000769828,0.000763786,0.000766372,0.000782122,0,6.17084E-08,6.08509E-08,5.88596E-08,5.56948E-08,5.1327E-08,0,8.07406E-08,8.92258E-08,9.50925E-08,9.82473E-08,9.86186E-08,0
55,55,0.1,0.2,20,14,0.3,0.3,4.5,2.5,4.5,1.5,5.5,0,1,1,0.1,0.1,1,1,10,0.000390537,0.000393169,0.000396056,0.00039885,0.000401726,0,0.000263264,0.000266325,0.000271247,0.000277993,0.00028706,0,4.20794E-08,4.14416E-08,3.97503E-08,3.69644E-08,3.30483E-08,0,3.13099E-08,3.74558E-08,4.20336E-08,4.49522E-08,4.61061E-08,0
35,30,0.2,0.2,32,30,0.2,0.3,3.5,3,3,3,3,0,1,1,0.1,0.1,1,1,10,0.000575175,0.000564767,0.00056238,0.000569472,0.000589685,0,0.000821919,0.000825469,0.000834546,0.000849008,0.000872056,0,8.81566E-08,8.64323E-08,8.17925E-08,7.41907E-08,6.35421E-08,0,7.23053E-08,8.79879E-08,9.92107E-08,1.05786E-07,1.07461E-07,0
30,25,0.1,0.2,24,38,0.1,0.1,1.5,2.5,4,3,4.5,0,1,1,0.1,0.1,1,1,10,0.00122751,0.00123266,0.00124415,0.00126388,0.00129445,0,0.00100284,0.000953572,0.000924092,0.000913826,0.000926221,0,5.65811E-08,5.51406E-08,5.19179E-08,4.68598E-08,3.99175E-08,0,3.62661E-08,4.78205E-08,5.60702E-08,6.09431E-08,6.23825E-08,0
70,60,0.1,0.2,70,18,0.1,0.2,1,1.5,4.5,4,5,0,1,1,0.1,0.1,1,1,10,0.000546919,0.000550391,0.000555718,0.000564929,0.000581034,0,0.00036372,0.000362298,0.000363618,0.000367744,0.000375057,0,2.01481E-08,1.93166E-08,1.76218E-08,1.50299E-08,1.15224E-08,0,1.37008E-08,2.08925E-08,2.62306E-08,2.96577E-08,3.11015E-08,0
50,40,0.3,0.1,78,24,0.2,0.3,4,1,4,4,3,0,1,2,0.1,0.1,1,1,10,0.000342938,0.000338975,0.000349185,0.000384355,0.000474437,0,0.0014057,0.00143322,0.00145818,0.0014801,0.00150133,0,8.48859E-08,8.22978E-08,7.64556E-08,6.72381E-08,5.37728E-08,0,9.80515E-08,1.10413E-07,1.19237E-07,1.24432E-07,1.25936E-07,0
