% Model,MFT_5_6_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 29 2024, 19:38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
70,65,0.2,0.1,60,14,0.3,0.2,2,3,3.5,1,4,0,1,1,0.1,0.1,1,1,10,0.000243645,0.000245502,0.000249539,0.000258632,0.000278327,0,0.000599516,0.00060652,0.000613556,0.000620469,0.000627309,0.000634419,3.12E-08,2.97E-08,2.63E-08,2.11E-08,1.38E-08,0,3.25E-08,3.85E-08,4.32E-08,4.67E-08,4.89E-08,4.98E-08
70,70,0.3,0.2,68,40,0.1,0.2,0.5,3.5,3.5,1,4,0,1,2,0.1,0.1,1,1,10,0.000278057,0.000283533,0.000300441,0.000329025,0.000370554,0,0.000455566,0.000442966,0.000435598,0.000432632,0.000433289,0.000437572,3.67E-08,3.48E-08,3.05E-08,2.39E-08,1.50E-08,0,6.64E-09,1.80E-08,2.71E-08,3.39E-08,3.83E-08,4.03E-08
40,30,0.2,0.3,68,34,0.2,0.3,4,3.5,6,3.5,5.5,0,1,1,0.1,0.1,2,1,10,0.000705975,0.00068898,0.000682559,0.000693644,0.000733675,0,0.00105048,0.000990804,0.000953468,0.000941783,0.000961147,0.00102039,1.30E-07,1.27E-07,1.21E-07,1.12E-07,9.76E-08,0,1.29E-07,1.61E-07,1.85E-07,2.01E-07,2.11E-07,2.11E-07
65,65,0.2,0.3,76,36,0.1,0.1,2.5,4,5,1.5,3,0,1,1,0.1,0.1,2,1,10,0.000455799,0.000455515,0.000459583,0.000467336,0.000478901,0,0.000470092,0.000421997,0.000386103,0.000361607,0.000348719,0.000348619,6.79E-08,6.65E-08,6.32E-08,5.80E-08,5.09E-08,0,3.82E-08,5.07E-08,6.06E-08,6.80E-08,7.27E-08,7.47E-08
55,35,0.2,0.3,36,40,0.3,0.1,5.5,3.5,5.5,3,3,0,1,1,0.1,0.1,2,1,10,0.000449227,0.000436945,0.000443296,0.000488694,0.000615694,0,0.000960431,0.000854633,0.000789482,0.000760131,0.000770718,0.000839164,9.23E-08,9.03E-08,8.54E-08,7.69E-08,6.38E-08,0,1.71E-07,1.87E-07,2.00E-07,2.08E-07,2.12E-07,2.10E-07
25,20,0.2,0.2,24,6,0.1,0.2,6,1.5,5,4,4,0,1,1,0.1,0.1,1,1,10,0.000352758,0.000349926,0.000349948,0.000352354,0.000357491,0,0.000732994,0.000742661,0.00075476,0.000767956,0.000782689,0.000801551,7.38E-08,7.32E-08,7.14E-08,6.84E-08,6.39E-08,0,9.71E-08,1.09E-07,1.18E-07,1.24E-07,1.27E-07,1.27E-07
40,25,0.2,0.2,58,26,0.1,0.1,2.5,3.5,6,1,3.5,0,1,1,0.1,0.1,1,1,10,0.000551778,0.000552746,0.000573798,0.000641829,0.000803689,0,0.00114129,0.00114029,0.00114498,0.0011546,0.00117037,0.00119693,6.28E-08,6.09E-08,5.65E-08,4.88E-08,3.70E-08,0,1.12E-07,1.28E-07,1.39E-07,1.47E-07,1.52E-07,1.52E-07
60,60,0.2,0.3,68,40,0.3,0.3,4.5,1.5,4,3,4,0,1,1,0.1,0.1,2,1,10,0.000532514,0.00052671,0.000526168,0.000530191,0.000538784,0,0.000517134,0.000472317,0.00043984,0.000419996,0.000414301,0.000426028,1.22E-07,1.20E-07,0.000000114,1.05E-07,9.32E-08,0,6.53E-08,8.48E-08,1.00E-07,1.12E-07,1.19E-07,1.22E-07
55,55,0.2,0.2,60,40,0.3,0.1,6,2,5.5,4,4.5,0,1,1,0.1,0.1,1,1,10,0.000579478,0.000569028,0.000566088,0.000568882,0.000577247,0,0.000641839,0.000629332,0.000621901,0.000619655,0.000623333,0.000635363,1.36E-07,1.34E-07,1.29E-07,1.20E-07,1.07E-07,0,1.12E-07,1.23E-07,1.31E-07,1.37E-07,1.40E-07,1.41E-07
65,55,0.3,0.3,54,8,0.1,0.2,5.5,3.5,5.5,4,6,0,1,2,0.1,0.1,2,1,10,0.000162005,0.00016543,0.00016815,0.000183515,0.000210022,0,0.000374639,0.000344855,0.000325191,0.00031675,0.000321305,0.000344347,5.49E-08,5.39E-08,5.17E-08,4.81E-08,4.31E-08,0,7.30E-08,8.34E-08,9.15E-08,9.73E-08,1.01E-07,1.01E-07
