% Model,MFT_4_3_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 23 2024, 03:29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
25,20,0.3,0.3,40,38,0.2,0.2,1.5,1,5.5,2,6,0,1,2,0.1,0.1,2,1,10,0.000606831,0.000606279,0.000645264,0.000770651,0,0,0.000882591,0.000850779,0.000847453,0,0,0,7.07266E-08,6.60553E-08,5.54426E-08,3.79226E-08,0,0,3.78287E-08,5.02475E-08,5.50423E-08,0,0,0
70,55,0.3,0.3,26,12,0.2,0.3,3,2,6,3.5,3.5,0,1,2,0.1,0.1,2,1,10,9.76856E-05,0.000100692,0.000115102,0.000157274,0,0,0.000177747,0.000175897,0.000179583,0,0,0,1.59746E-08,1.50978E-08,1.30416E-08,9.3405E-09,0,0,1.85331E-08,2.19252E-08,2.33544E-08,0,0,0
35,25,0.1,0.2,68,16,0.3,0.1,5.5,3,4,2,4.5,0,1,1,0.1,0.1,1,1,10,0.00107847,0.00108349,0.00109174,0.00110934,0,0,0.00106142,0.0010655,0.00107212,0,0,0,8.54338E-08,8.28394E-08,7.71149E-08,6.80997E-08,0,0,1.01327E-07,1.07196E-07,1.09024E-07,0,0,0
65,60,0.1,0.1,68,32,0.3,0.1,5.5,3.5,3,3,3.5,0,1,1,0.1,0.1,1,1,10,0.000767389,0.00076825,0.00076952,0.000772023,0,0,0.00097381,0.000978338,0.000982975,0,0,0,6.44162E-08,6.25971E-08,5.85857E-08,5.23232E-08,0,0,5.70336E-08,5.94315E-08,6.04469E-08,0,0,0
25,15,0.2,0.2,62,40,0.3,0.2,4,2.5,5,3,6,0,1,1,0.1,0.1,1,1,10,0.00112588,0.00109901,0.00110722,0.00120758,0,0,0.00222008,0.00223774,0.00224717,0,0,0,1.33164E-07,1.28111E-07,1.15513E-07,9.41904E-08,0,0,1.43849E-07,1.57523E-07,1.60901E-07,0,0,0
60,50,0.1,0.2,72,24,0.1,0.3,4,1,4.5,3.5,6,0,1,1,0.1,0.1,1,1,10,0.000698072,0.000700762,0.000704438,0.000710029,0,0,0.000522743,0.000528569,0.000536456,0,0,0,4.64564E-08,4.54779E-08,4.34597E-08,4.0379E-08,0,0,4.01411E-08,4.6045E-08,4.84918E-08,0,0,0
30,30,0.2,0.2,34,10,0.2,0.3,2,3,4,1,3.5,0,1,1,0.1,0.1,1,1,10,0.000392392,0.000394116,0.000397485,0.000403587,0,0,0.000435972,0.000446259,0.000457218,0,0,0,3.21131E-08,3.05995E-08,2.69537E-08,2.10956E-08,0,0,1.87676E-08,2.41829E-08,2.66595E-08,0,0,0
70,55,0.1,0.1,60,28,0.1,0.1,2.5,3.5,3,3.5,5,0,1,1,0.1,0.1,1,1,10,0.000654973,0.000660005,0.000668721,0.000685514,0,0,0.000866401,0.00087125,0.000876321,0,0,0,2.14787E-08,2.04371E-08,1.83131E-08,1.50714E-08,0,0,3.09907E-08,3.31886E-08,3.41415E-08,0,0,0
45,30,0.2,0.2,60,30,0.1,0.2,2,3.5,4,1,4.5,0,1,1,0.1,0.1,1,1,10,0.000541838,0.000551707,0.000591927,0.000705679,0,0,0.00086871,0.000877636,0.000889438,0,0,0,3.50343E-08,3.27797E-08,2.76028E-08,1.87947E-08,0,0,4.72674E-08,5.47418E-08,5.76364E-08,0,0,0
30,25,0.1,0.1,28,14,0.1,0.1,4,1.5,5.5,1.5,3,0,1,1,0.1,0.1,1,1,10,0.00069632,0.000701107,0.000706292,0.000712353,0,0,0.00107145,0.0010811,0.00108996,0,0,0,4.45858E-08,4.37475E-08,4.19076E-08,3.90336E-08,0,0,3.97003E-08,4.21227E-08,4.30842E-08,0,0,0
35,30,0.1,0.2,62,12,0.3,0.1,0.5,1.5,3,3,6,0,1,1,0.1,0.1,1,1,10,0.000885139,0.000898764,0.000922252,0.00097048,0,0,0.000565895,0.000566552,0.000570958,0,0,0,1.69799E-08,1.43446E-08,8.84431E-09,3.09495E-10,0,0,1.36387E-08,1.79494E-08,1.99061E-08,0,0,0
25,20,0.1,0.1,26,30,0.3,0.2,2,2,5.5,1,6,0,1,1,0.1,0.1,1,1,10,0.00126683,0.00127352,0.00128813,0.00132365,0,0,0.00179484,0.00181313,0.00183026,0,0,0,5.16257E-08,4.85997E-08,4.18643E-08,3.11426E-08,0,0,3.93848E-08,4.52952E-08,4.75977E-08,0,0,0
65,45,0.3,0.3,54,10,0.1,0.3,2.5,3,3.5,1.5,3.5,0,1,2,0.1,0.1,2,1,10,0.000158833,0.00017254,0.000202011,0.000306046,0,0,0.000291981,0.000289792,0.000296258,0,0,0,2.03024E-08,1.91319E-08,1.63559E-08,1.0655E-08,0,0,2.77437E-08,3.32316E-08,3.55209E-08,0,0,0
45,40,0.1,0.3,22,34,0.2,0.1,2,1.5,3.5,3,5.5,0,1,1,0.1,0.1,2,1,10,0.000716187,0.000722581,0.000732538,0.000747533,0,0,0.000386351,0.000344562,0.000332173,0,0,0,3.20915E-08,3.06778E-08,2.7678E-08,2.30385E-08,0,0,1.86654E-08,2.33491E-08,2.5349E-08,0,0,0
55,30,0.2,0.1,42,40,0.3,0.3,1,3.5,3,2,5,0,1,1,0.1,0.1,1,1,10,0.000518063,0.000547446,0.000712209,0.00126907,0,0,0.00161624,0.0016377,0.00165901,0,0,0,2.26047E-08,1.99991E-08,1.14304E-08,-9.08023E-09,0,0,3.53812E-08,4.31037E-08,4.63147E-08,0,0,0
70,55,0.3,0.1,46,30,0.3,0.2,4,2,5,2,3,0,1,2,0.1,0.1,1,1,10,0.000197526,0.000200547,0.000226609,0.000311807,0,0,0.000856126,0.000864362,0.000872203,0,0,0,3.71228E-08,3.50543E-08,3.03792E-08,2.20427E-08,0,0,4.42527E-08,4.72655E-08,4.84847E-08,0,0,0
30,30,0.2,0.1,34,18,0.1,0.3,2.5,3.5,3,3,5,0,1,1,0.1,0.1,1,1,10,0.00050044,0.000499734,0.000502417,0.000509075,0,0,0.00105509,0.00107526,0.00109364,0,0,0,4.23419E-08,4.10056E-08,3.76455E-08,3.22132E-08,0,0,2.73522E-08,3.26303E-08,3.4981E-08,0,0,0
60,35,0.1,0.1,42,26,0.2,0.2,2.5,2.5,5,4,3.5,0,1,1,0.1,0.1,1,1,10,0.00071587,0.000726567,0.000755233,0.000828919,0,0,0.00113755,0.001151,0.00116345,0,0,0,2.20816E-08,2.0238E-08,1.63102E-08,1.00638E-08,0,0,4.22241E-08,4.61017E-08,4.7619E-08,0,0,0
50,35,0.1,0.3,46,6,0.2,0.3,1,3.5,5,2.5,3.5,0,1,1,0.1,0.1,2,1,10,0.000528748,0.000540266,0.000561185,0.000605012,0,0,0.000301416,0.000277768,0.000284868,0,0,0,1.22593E-08,1.09319E-08,8.14497E-09,3.80007E-09,0,0,1.29613E-08,1.86927E-08,2.10894E-08,0,0,0
65,55,0.3,0.1,64,6,0.3,0.2,3.5,3.5,3,1.5,5,0,1,2,0.1,0.1,1,1,10,0.000158184,0.000168898,0.000182302,0.000234956,0,0,0.000674458,0.000682469,0.000690031,0,0,0,2.81959E-08,2.63088E-08,2.23782E-08,1.56171E-08,0,0,3.24881E-08,3.50223E-08,3.6139E-08,0,0,0
55,45,0.2,0.2,24,38,0.3,0.2,0.5,2.5,5,3,5.5,0,1,1,0.1,0.1,1,1,10,0.00034958,0.000362389,0.000408602,0.000537007,0,0,0.000468471,0.000455601,0.000454957,0,0,0,1.65906E-08,1.42468E-08,8.86976E-09,-5.01767E-10,0,0,1.11695E-08,1.57769E-08,1.78498E-08,0,0,0
40,40,0.3,0.3,72,26,0.3,0.1,3.5,2.5,3,3,3.5,0,1,2,0.1,0.1,2,1,10,0.000455629,0.000451318,0.000462989,0.000489055,0,0,0.0004897,0.000472473,0.00046947,0,0,0,7.93519E-08,7.58511E-08,6.72551E-08,5.36667E-08,0,0,4.99969E-08,5.65627E-08,5.94116E-08,0,0,0
50,50,0.1,0.3,54,24,0.3,0.2,4.5,3,4.5,3,3.5,0,1,1,0.1,0.1,2,1,10,0.000810071,0.000813029,0.000815171,0.000816431,0,0,0.000337115,0.000326577,0.000326112,0,0,0,6.45595E-08,6.29068E-08,5.90188E-08,5.28474E-08,0,0,3.80997E-08,4.38974E-08,4.64952E-08,0,0,0
40,30,0.3,0.2,44,10,0.1,0.3,4,1.5,4,1.5,3.5,0,1,2,0.1,0.1,1,1,10,0.000208081,0.000219127,0.000250226,0.000314585,0,0,0.000561283,0.000573261,0.000585069,0,0,0,4.05836E-08,3.90637E-08,3.568E-08,3.00965E-08,0,0,4.39948E-08,4.96808E-08,5.18588E-08,0,0,0
30,20,0.3,0.1,56,10,0.1,0.2,6,3.5,3.5,4,3.5,0,1,2,0.1,0.1,1,1,10,0.00037811,0.000372336,0.000389249,0.000443192,0,0,0.002096,0.00212203,0.0021412,0,0,0,7.64904E-08,7.46389E-08,6.97304E-08,6.14197E-08,0,0,1.13345E-07,1.19014E-07,1.20758E-07,0,0,0
30,20,0.1,0.1,48,10,0.3,0.2,3,3.5,3.5,1,3,0,1,1,0.1,0.1,1,1,10,0.000918962,0.000934827,0.00096297,0.00102281,0,0,0.00166591,0.00168951,0.00170882,0,0,0,4.13999E-08,3.88267E-08,3.32334E-08,2.43099E-08,0,0,5.98583E-08,6.50198E-08,6.69207E-08,0,0,0
20,15,0.2,0.1,58,22,0.1,0.3,1.5,4,5.5,3,3,0,1,1,0.1,0.1,1,1,10,0.000997167,0.000998826,0.00102488,0.00110676,0,0,0.00282788,0.00287331,0.0029073,0,0,0,5.68974E-08,5.35034E-08,4.55887E-08,3.26112E-08,0,0,5.23637E-08,6.44145E-08,6.91087E-08,0,0,0
25,15,0.3,0.3,24,30,0.2,0.2,3.5,3.5,6,1,3.5,0,1,2,0.1,0.1,2,1,10,0.000504967,0.000496242,0.000544667,0.00068895,0,0,0.00110213,0.00106869,0.00106984,0,0,0,7.87541E-08,7.57376E-08,6.75844E-08,5.32787E-08,0,0,8.70494E-08,9.86982E-08,1.01705E-07,0,0,0
65,60,0.1,0.3,28,28,0.1,0.1,2,3.5,3,2.5,5,0,1,1,0.1,0.1,2,1,10,0.000492034,0.000495161,0.000499487,0.000505329,0,0,0.000234377,0.000218586,0.000214104,0,0,0,1.93363E-08,1.86649E-08,1.72541E-08,1.50897E-08,0,0,1.3746E-08,1.69325E-08,1.83711E-08,0,0,0
