% Model,MFT_6_6_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 22 2024, 15:40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
40,40,0.3,0.1,68,20,0.2,0.2,4,3,5,4,4,0,1,2,0.1,0.1,1,1,10,0.000463589,0.000446682,0.000449974,0.00046794,0.00049967,0.000545339,0.00124778,0.00126465,0.00128071,0.00129534,0.00130855,0.00132138,1.26009E-07,1.24201E-07,1.18403E-07,1.08899E-07,9.57149E-08,7.87597E-08,1.01904E-07,1.13265E-07,1.22174E-07,1.28594E-07,1.32481E-07,1.33805E-07
25,15,0.2,0.3,70,6,0.3,0.1,3.5,1.5,3,2.5,4.5,0,1,1,0.1,0.1,2,1,10,0.000685445,0.000681026,0.00066445,0.000713575,0.000800675,0.00101628,0.00158419,0.0012996,0.00126847,0.00131237,0.00128438,0.00135563,1.27793E-07,1.24687E-07,1.17625E-07,1.05962E-07,8.91982E-08,6.5606E-08,1.71706E-07,1.97745E-07,2.16198E-07,2.27992E-07,2.3445E-07,2.33059E-07
25,20,0.2,0.1,30,12,0.3,0.3,6,3.5,6,3,3.5,0,1,1,0.1,0.1,1,1,10,0.000592803,0.000580586,0.000571812,0.000566181,0.000565463,0.000573187,0.0018333,0.00187998,0.00192002,0.00195086,0.00197246,0.00198722,1.36039E-07,1.34959E-07,1.30597E-07,1.2299E-07,1.12086E-07,9.76828E-08,1.60121E-07,1.76494E-07,1.88944E-07,1.97354E-07,2.01604E-07,2.01605E-07
25,20,0.2,0.3,62,18,0.2,0.2,0.5,3.5,5.5,2.5,4.5,0,1,1,0.1,0.1,2,1,10,0.000807604,0.000796249,0.000788683,0.000799798,0.000858373,0.00101822,0.00097262,0.000924032,0.000896382,0.000884644,0.000887827,0.000906057,8.28746E-08,7.9887E-08,7.27224E-08,6.10636E-08,4.42371E-08,2.1394E-08,2.90444E-08,5.80832E-08,8.08387E-08,9.72777E-08,1.07137E-07,1.09934E-07
50,45,0.1,0.1,60,32,0.1,0.2,4.5,2,3.5,2,3.5,0,1,1,0.1,0.1,1,1,10,0.000928482,0.000927895,0.000928016,0.000928752,0.000930315,0.000933074,0.00121187,0.00122616,0.00124,0.0012527,0.00126465,0.00127739,1.10464E-07,1.09507E-07,1.07266E-07,1.0372E-07,9.8853E-08,9.26504E-08,9.2284E-08,1.03028E-07,1.11421E-07,1.17418E-07,1.20974E-07,1.22066E-07
65,60,0.2,0.3,80,32,0.1,0.2,5.5,1.5,4,3,5,0,1,1,0.1,0.1,2,1,10,0.000449779,0.000446392,0.000447376,0.000452213,0.000460921,0.000473769,0.000533431,0.000487431,0.000454365,0.000435571,0.000433053,0.00045172,1.32171E-07,1.30954E-07,1.27969E-07,1.23218E-07,1.16707E-07,1.08427E-07,9.35056E-08,1.09405E-07,1.21931E-07,1.31064E-07,1.3665E-07,1.38327E-07
20,20,0.1,0.1,42,14,0.3,0.1,1.5,3,6,3,4,0,1,1,0.1,0.1,1,1,10,0.00147362,0.00147841,0.00147752,0.00147239,0.00146675,0.00146598,0.00157561,0.0015958,0.00161604,0.00163483,0.00165164,0.00166658,8.3088E-08,8.10662E-08,7.53825E-08,6.5878E-08,5.23775E-08,3.46588E-08,5.57514E-08,6.53141E-08,7.27686E-08,7.8108E-08,8.13152E-08,8.23757E-08
50,35,0.1,0.1,64,6,0.3,0.3,5.5,2,3.5,1.5,3.5,0,1,1,0.1,0.1,1,1,10,0.000575364,0.000579258,0.000585318,0.000598686,0.000627583,0.000684691,0.00124068,0.00126915,0.00129662,0.0013219,0.00134571,0.00137139,8.41365E-08,8.26972E-08,7.95914E-08,7.46343E-08,6.75831E-08,5.82257E-08,1.216E-07,1.33937E-07,1.43462E-07,1.50079E-07,1.53678E-07,1.54177E-07
30,20,0.1,0.2,24,40,0.3,0.1,5,4,3.5,2.5,5,0,1,1,0.1,0.1,1,1,10,0.00148974,0.00147213,0.00146115,0.00146142,0.00148069,0.00153028,0.00178589,0.00170646,0.00166054,0.0016421,0.00165334,0.00170863,1.63476E-07,1.61781E-07,1.56408E-07,1.47164E-07,1.33863E-07,1.16341E-07,2.06431E-07,2.24747E-07,2.38088E-07,2.46358E-07,2.49397E-07,2.47096E-07
30,30,0.3,0.2,24,24,0.3,0.2,4,3,3,4,3,0,1,2,0.1,0.1,1,1,10,0.000511379,0.000472438,0.000472553,0.000492837,0.000531317,0.000588435,0.00073969,0.000735166,0.000736745,0.000743726,0.000756935,0.000779239,1.21073E-07,1.19972E-07,1.1434E-07,1.04638E-07,9.08457E-08,7.2747E-08,9.34381E-08,1.07538E-07,1.1852E-07,1.26292E-07,1.30691E-07,1.31544E-07
60,50,0.3,0.2,52,10,0.3,0.1,4,1,3.5,4,3.5,0,1,2,0.1,0.1,1,1,10,0.000171439,0.000172158,0.000177659,0.000190689,0.000219598,0.000291334,0.000429316,0.000425441,0.000425118,0.000427795,0.000434548,0.00044812,5.61977E-08,5.46065E-08,5.10743E-08,4.55892E-08,3.79414E-08,2.7309E-08,7.08956E-08,7.74209E-08,8.25064E-08,8.61108E-08,8.81589E-08,8.85738E-08
30,25,0.1,0.3,42,18,0.3,0.3,3.5,3.5,3,4,3,0,1,1,0.1,0.1,2,1,10,0.00112831,0.00112269,0.00111598,0.00110911,0.00110449,0.00110528,0.000779295,0.000748988,0.000731374,0.000729351,0.000746335,0.000787125,1.14615E-07,1.132E-07,1.08953E-07,1.01773E-07,9.15693E-08,7.82271E-08,8.77724E-08,1.12101E-07,1.3107E-07,1.44602E-07,1.52348E-07,1.5353E-07
25,20,0.1,0.2,42,14,0.2,0.1,1,3,5,3,4,0,1,1,0.1,0.1,1,1,10,0.00109673,0.00109879,0.00110253,0.00111377,0.00114161,0.00119879,0.000873433,0.000875656,0.00088165,0.00089041,0.000901515,0.000916107,5.33285E-08,5.15393E-08,4.74012E-08,4.07412E-08,3.13717E-08,1.91575E-08,4.1042E-08,5.43481E-08,6.47141E-08,7.20823E-08,7.6355E-08,7.74369E-08
40,35,0.3,0.2,80,26,0.3,0.1,4,1,3,2,6,0,1,2,0.1,0.1,1,1,10,0.00051789,0.000505529,0.000508046,0.000523792,0.00055725,0.000625365,0.000978689,0.000970624,0.000969448,0.000973813,0.000985479,0.0010097,1.49952E-07,1.46379E-07,1.37685E-07,1.24068E-07,1.05416E-07,8.1221E-08,1.42103E-07,1.56419E-07,1.67474E-07,1.75197E-07,1.79456E-07,1.80126E-07
