% Model,MFT_4_4_1.mph,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Version,COMSOL 6.1.0.357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Date,"Apr 23 2024, 03:22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% Table,Table 4 - ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% hw1 (mm),hw2 (mm),dw1 (mm),dw2 (mm),lcs (mm),dcs (mm),dww_ii_x (mm),dww_oo_x (mm),dww_x (mm),lcore_x1 (mm),lcore_x2 (mm),lcore_y1 (mm),lcore_y2 (mm),dc2c (mm),dsm_i (mm),Nlayer_analysis_i,thick_first_layer_i,thick_first_layer_o,Nlayer_analysis_o,dsm_o (mm),freq,mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Is/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),mf.Qrh*8/(2*Ip/sqrt(2))^2 (W),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Is)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J),real(mf.AX*mf.JX+mf.AY*mf.JY+mf.AZ*mf.JZ)/((2*Ip)^2)*8 (J)
55,40,0.1,0.3,52,18,0.3,0.2,1,2,4.5,3,5.5,0,1,1,0.1,0.1,2,1,10,0.000634059,0.000645696,0.000672554,0.000738021,0,0,0.000360188,0.000345261,0.000341178,0.000348793,0,0,1.81355E-08,1.61192E-08,1.18285E-08,5.03781E-09,0,0,2.03205E-08,2.86436E-08,3.39571E-08,3.60675E-08,0,0
25,25,0.2,0.1,78,12,0.1,0.1,0.5,2.5,6,3,5.5,0,1,1,0.1,0.1,1,1,10,0.000763717,0.000774265,0.000800152,0.000845789,0,0,0.00154763,0.00155642,0.00156625,0.00157644,0,0,3.01796E-08,2.74479E-08,2.14355E-08,1.20175E-08,0,0,1.49191E-08,2.13105E-08,2.54623E-08,2.73667E-08,0,0
65,35,0.1,0.1,74,24,0.2,0.1,4,4,5.5,3,6,0,1,1,0.1,0.1,1,1,10,0.000863671,0.000875242,0.000907426,0.000991608,0,0,0.00160879,0.00162038,0.00163073,0.0016407,0,0,3.69981E-08,3.48091E-08,3.01214E-08,2.26477E-08,0,0,1.09357E-07,1.14475E-07,1.17416E-07,1.18165E-07,0,0
70,55,0.1,0.1,56,22,0.1,0.2,0.5,2.5,6,4,4.5,0,1,1,0.1,0.1,1,1,10,0.000590091,0.000596384,0.00060734,0.000629077,0,0,0.00068745,0.000693517,0.00070022,0.000707368,0,0,8.3399E-09,7.33372E-09,5.29105E-09,2.18852E-09,0,0,8.6695E-09,1.29422E-08,1.57288E-08,1.70065E-08,0,0
20,15,0.1,0.1,20,14,0.1,0.2,4,3.5,5,2.5,3.5,0,1,1,0.1,0.1,1,1,10,0.00102694,0.00103276,0.00103899,0.00104622,0,0,0.00180451,0.00183659,0.00186182,0.00188014,0,0,5.81303E-08,5.72358E-08,5.49186E-08,5.11287E-08,0,0,7.61424E-08,8.38448E-08,8.82929E-08,8.94167E-08,0,0
45,30,0.2,0.1,58,14,0.3,0.1,6,2,4,2,5.5,0,1,1,0.1,0.1,1,1,10,0.000369968,0.000370595,0.000386414,0.000442604,0,0,0.00151751,0.00152956,0.00154001,0.00154945,0,0,6.1529E-08,5.93528E-08,5.43782E-08,4.59491E-08,0,0,1.17339E-07,1.21909E-07,1.24489E-07,1.25062E-07,0,0
60,60,0.1,0.3,36,36,0.2,0.3,4,2,6,2.5,5,0,1,1,0.1,0.1,2,1,10,0.000694016,0.000696152,0.000698779,0.000701804,0,0,0.000322399,0.000296669,0.000284238,0.000285079,0,0,5.82123E-08,5.7111E-08,5.45638E-08,5.05473E-08,0,0,2.8266E-08,3.71889E-08,4.29953E-08,4.55378E-08,0,0
45,45,0.2,0.3,74,14,0.3,0.3,2,1.5,3.5,2.5,4,0,1,1,0.1,0.1,2,1,10,0.000443748,0.000443891,0.000445929,0.000450915,0,0,0.000362247,0.000346023,0.00034036,0.000343768,0,0,4.64198E-08,4.40071E-08,3.86208E-08,3.01879E-08,0,0,2.22764E-08,3.31564E-08,4.03044E-08,4.35668E-08,0,0
45,35,0.1,0.3,44,18,0.2,0.3,1.5,1,5.5,3.5,4,0,1,1,0.1,0.1,2,1,10,0.000637144,0.000644128,0.000655277,0.000676363,0,0,0.000374727,0.000364448,0.000363839,0.000373815,0,0,2.54165E-08,2.39942E-08,2.10558E-08,1.65316E-08,0,0,1.97809E-08,2.97126E-08,3.60508E-08,3.8529E-08,0,0
40,40,0.3,0.2,44,34,0.1,0.2,6,4,4,3,4,0,1,2,0.1,0.1,1,1,10,0.000463147,0.00045311,0.000470741,0.000506497,0,0,0.00071545,0.000715267,0.000719549,0.000729818,0,0,1.0762E-07,1.06087E-07,1.01082E-07,9.27892E-08,0,0,8.91662E-08,9.84952E-08,1.04222E-07,1.0624E-07,0,0
